# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                             | flagCoding    | flags                                       | ancilliaryBandName
# Diff_TBs_Type                                                                                                                                            *
  *       | Dg_chi2_R2              | Dg_chi2_R2              | *     | *           | 0.0           | 0.01          | *         | *          | *      | 0.0       | *         | *         | Normalized retrieval fit quality index for 2nd mapped configuration                                    | *             | *                                           | *
  *       | Dg_chi2_P_R2            | Dg_chi2_P_R2            | *     | *           | 0.0           | 0.001         | *         | *          | *      | 0.0       | *         | *         | Normalised chi2 high value acceptability probability for 2nd mapped configuration                      | *             | *                                           | *
  *       | Param1_R3               | Param1_R3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | psu       | Param1_R3                                                                                              | *             | *                                           | Param1_sigma_R3
  *       | Param1_sigma_R3         | Param1_sigma_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | psu       | Param1_sigma_R3                                                                                        | *             | *                                           | *
  *       | Param2_R3               | Param2_R3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param2_R3                                                                                              | *             | *                                           | Param2_sigma_R3
  *       | Param2_sigma_R3         | Param2_sigma_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param2_sigma_R3                                                                                        | *             | *                                           | *
  *       | Param3_R3               | Param3_R3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | tecu      | Param3_R3                                                                                              | *             | *                                           | Param3_sigma_R3
  *       | Param3_sigma_R3         | Param3_sigma_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | tecu      | Param3_sigma_R3                                                                                        | *             | *                                           | *
  *       | Param4_R3               | Param4_R3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_R3                                                                                              | *             | *                                           | Param4_sigma_R3
  *       | Param4_sigma_R3         | Param4_sigma_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_R3                                                                                        | *             | *                                           | *
  *       | Param5_R3               | Param5_R3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_R3                                                                                              | *             | *                                           | Param5_sigma_R3
  *       | Param5_sigma_R3         | Param5_sigma_R3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_R3                                                                                        | *             | *                                           | *
  *       | Dg_num_iter_R3          | Dg_num_iter_R3          | *     | *           | *             | *             | *         | *          | *      | 0.0       | *         | *         | Number of iterations for 3rd mapped configuration                                                      | *             | *                                           | *
  *       | Dg_quality_R3           | Dg_quality_R3           | *     | *           | *             | *             | *         | *          | *      | 999.0     | *         | *         | Quality index for 3rd mapped configuration                                                             | *             | *                                           | *
  *       | Dg_chi2_R3              | Dg_chi2_R3              | *     | *           | 0.0           | 0.01          | *         | *          | *      | 0.0       | *         | *         | Normalized retrieval fit quality index for 3rd mapped configuration                                    | *             | *                                           | *
  *       | Dg_chi2_P_R3            | Dg_chi2_P_R3            | *     | *           | 0.0           | 0.001         | *         | *          | *      | 0.0       | *         | *         | Normalised chi2 high value acceptability probability for 3rd mapped configuration                      | *             | *                                           | *
  *       | Param1_R4               | Param1_R4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_R4                                                                                              | *             | *                                           | Param1_sigma_R4
  *       | Param1_sigma_R4         | Param1_sigma_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_R4                                                                                        | *             | *                                           | *
  *       | Param2_R4               | Param2_R4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | K         | Param2_R4                                                                                              | *             | *                                           | Param2_sigma_R4
  *       | Param2_sigma_R4         | Param2_sigma_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | K         | Param2_sigma_R4                                                                                        | *             | *                                           | *
  *       | Param3_R4               | Param3_R4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_R4                                                                                              | *             | *                                           | Param3_sigma_R4
  *       | Param3_sigma_R4         | Param3_sigma_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_R4                                                                                        | *             | *                                           | *
  *       | Param4_R4               | Param4_R4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_R4                                                                                              | *             | *                                           | Param4_sigma_R4
  *       | Param4_sigma_R4         | Param4_sigma_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_R4                                                                                        | *             | *                                           | *
  *       | Param5_R4               | Param5_R4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_R4                                                                                              | *             | *                                           | Param5_sigma_R4
  *       | Param5_sigma_R4         | Param5_sigma_R4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_R4                                                                                        | *             | *                                           | *
  *       | Dg_num_iter_R4          | Dg_num_iter_R4          | *     | *           | *             | *             | *         | *          | *      | 0.0       | *         | *         | Number of iterations for 4th mapped configuration                                                      | *             | *                                           | *
